                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1159,                 3.6944,                 1.9361,                0.00253,                0.43985,                 0.1283,                0.08511,                 1.9548,                 4.0221,                 1.9266,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 1.9909,                 3.3768,                 1.7732,                0.00321,                0.50273,                0.21034,                0.13675,                 1.8477,                 3.8904,                 1.7243,             0.00018209,             0.00018209,             0.00018209
                      3,                 1.9479,                 2.7513,                 1.6486,                  0.004,                0.51591,                0.17304,                 0.0818,                 1.9423,                  3.831,                 1.6859,             0.00027448,             0.00027448,             0.00027448
                      4,                 1.8928,                 2.5416,                 1.6244,                0.00468,                0.55773,                 0.1566,                0.06223,                 2.0658,                 3.7544,                  1.712,             0.00036291,             0.00036291,             0.00036291
                      5,                 1.8204,                 2.4198,                 1.5795,                0.00646,                0.70227,                0.35622,                0.18375,                 1.9601,                 3.5992,                 1.7092,             0.00044738,             0.00044738,             0.00044738
                      6,                 1.8658,                  2.305,                 1.5852,                0.00769,                0.78394,                0.39827,                0.22124,                 1.9163,                 3.4696,                 1.6767,             0.00052789,             0.00052789,             0.00052789
                      7,                 1.7186,                 2.2504,                 1.5635,                0.81805,                0.14667,                0.24929,                0.11237,                 2.1136,                 3.7087,                 1.9102,             0.00060443,             0.00060443,             0.00060443
                      8,                 1.7396,                 2.1182,                 1.5434,                0.20291,                   0.26,                0.25381,                0.08933,                  2.142,                 3.6063,                 1.9325,             0.00067702,             0.00067702,             0.00067702
                      9,                 1.6999,                 2.0139,                 1.4889,                0.46951,                0.17893,                0.29083,                0.12373,                 2.1334,                 3.2551,                 1.9336,             0.00074564,             0.00074564,             0.00074564
                     10,                 1.7137,                 2.0249,                 1.5387,                0.96442,                0.25093,                0.41104,                0.23125,                 2.0899,                 3.0834,                 1.9372,              0.0008103,              0.0008103,              0.0008103
                     11,                 1.7253,                 2.0266,                 1.5295,                0.73227,                0.32667,                0.44379,                0.26748,                 2.0342,                 2.8489,                 1.9672,               0.000871,               0.000871,               0.000871
                     12,                 1.6612,                 1.9525,                 1.5232,                0.44677,                0.32623,                0.35774,                0.18874,                 2.0567,                 3.2068,                 2.0505,             0.00092774,             0.00092774,             0.00092774
                     13,                 1.7431,                 1.9395,                 1.5962,                0.39795,                0.35136,                 0.3718,                0.21267,                 2.0909,                 3.2843,                 2.0418,             0.00098052,             0.00098052,             0.00098052
                     14,                 1.7678,                  1.989,                 1.6435,                0.35673,                0.47075,                0.37706,                0.18468,                 2.0667,                 2.7292,                 1.9739,              0.0010293,              0.0010293,              0.0010293
                     15,                 1.7715,                 1.9193,                 1.5801,                0.29204,                0.48636,                0.39207,                 0.1889,                 2.1385,                 2.6465,                 2.0157,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.7088,                 1.9247,                 1.5924,                 0.4543,                   0.55,                0.58465,                0.28536,                  2.092,                 2.4904,                 1.9911,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.7059,                 1.8257,                 1.5843,                 0.5095,                0.62513,                0.60222,                0.27197,                 2.1627,                 2.4601,                  2.025,              0.0010046,              0.0010046,              0.0010046
