                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7907,                  3.407,                 1.9219,                0.00343,                0.49375,                0.08214,                0.07296,                  1.845,                 3.8574,                 1.8193,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                  1.695,                 3.2026,                 1.8199,                0.00364,                0.50833,                0.22204,                 0.2114,                 1.8903,                 3.7971,                 1.8271,             0.00018209,             0.00018209,             0.00018209
                      3,                  1.408,                 2.6917,                 1.6818,                0.00413,                0.53958,                0.20476,                 0.1753,                 2.0581,                 3.8464,                 2.0067,             0.00027448,             0.00027448,             0.00027448
                      4,                 1.6015,                  2.532,                 1.7862,                0.00409,                0.52917,                0.30579,                0.26275,                 2.0398,                 3.7781,                 1.9534,             0.00036291,             0.00036291,             0.00036291
                      5,                 1.5442,                 2.4854,                 1.8048,                0.00401,                0.50833,                0.30537,                0.26382,                 2.0297,                 3.7506,                 2.0623,             0.00044738,             0.00044738,             0.00044738
                      6,                 1.4852,                 2.4751,                 1.7585,                      1,                0.14258,                0.32004,                 0.2888,                 2.1423,                 3.7564,                 2.1861,             0.00052789,             0.00052789,             0.00052789
                      7,                 1.5979,                 2.4614,                 1.7764,                 0.2299,                0.44375,                0.33959,                 0.2958,                  2.226,                 3.8068,                 2.3262,             0.00060443,             0.00060443,             0.00060443
                      8,                 1.6138,                  2.355,                 1.7419,                0.59636,                0.27462,                0.29523,                0.26194,                 2.2795,                 3.8079,                 2.2962,             0.00067702,             0.00067702,             0.00067702
                      9,                 1.4936,                 2.2325,                 1.6914,                0.99661,                0.33333,                 0.3483,                0.32293,                 2.1302,                  3.452,                 2.2749,             0.00074564,             0.00074564,             0.00074564
                     10,                 1.4941,                  2.121,                 1.6962,                0.66667,                  0.327,                0.34698,                0.33657,                 2.1016,                 3.4853,                 2.2317,              0.0008103,              0.0008103,              0.0008103
                     11,                 1.5409,                 2.1898,                 1.7102,                0.47626,                0.37854,                0.36968,                0.33669,                 2.1369,                 3.2878,                 2.1939,               0.000871,               0.000871,               0.000871
                     12,                 1.4233,                   2.06,                 1.6755,                0.79172,                 0.3375,                0.36335,                0.33184,                 2.0086,                 3.0145,                 2.0796,             0.00092774,             0.00092774,             0.00092774
                     13,                 1.3995,                 2.0672,                 1.7134,                0.98609,                0.33333,                0.36382,                0.28785,                 2.1729,                 3.0594,                 2.2306,             0.00098052,             0.00098052,             0.00098052
