                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1212,                 3.7451,                 1.9264,                0.00156,                0.35028,                0.11241,                0.09576,                 2.1239,                  3.981,                 2.0116,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 2.0038,                 3.2888,                 1.7525,                 0.0037,                0.39968,                0.32479,                0.27147,                 1.9987,                 3.7891,                 1.8142,             0.00018209,             0.00018209,             0.00018209
                      3,                 1.9652,                 2.5763,                 1.6735,                0.01047,                0.58808,                0.29596,                0.17339,                 1.9509,                 3.6758,                  1.691,             0.00027448,             0.00027448,             0.00027448
                      4,                 1.8836,                 2.2175,                 1.5717,                0.01828,                0.67609,                0.39343,                0.17596,                 2.0225,                 3.5635,                 1.6776,             0.00036291,             0.00036291,             0.00036291
                      5,                 1.8598,                 2.1525,                 1.5917,                0.00949,                0.48298,                0.34617,                0.20302,                  1.923,                 3.6561,                 1.8411,             0.00044738,             0.00044738,             0.00044738
                      6,                 1.7823,                 2.0225,                 1.5908,                 0.9562,                0.22141,                0.33433,                0.16737,                 1.9184,                 3.3629,                 1.7414,             0.00052789,             0.00052789,             0.00052789
                      7,                 1.8138,                 2.0066,                 1.6255,                0.89562,                    0.3,                0.46227,                0.16393,                 2.0433,                 3.2078,                  1.772,             0.00060443,             0.00060443,             0.00060443
                      8,                 1.7701,                 1.8224,                  1.493,                0.98969,                    0.3,                0.53221,                0.22102,                 2.0092,                 3.0219,                   1.76,             0.00067702,             0.00067702,             0.00067702
                      9,                 1.7783,                 1.8433,                 1.5356,                0.83077,                0.37413,                0.47854,                0.24304,                 2.0069,                   2.94,                 1.8518,             0.00074564,             0.00074564,             0.00074564
                     10,                 1.7383,                 1.8176,                 1.5505,                0.82813,                0.39633,                 0.5471,                0.30728,                 1.9695,                 2.7485,                 1.7573,              0.0008103,              0.0008103,              0.0008103
                     11,                 1.7517,                 1.7687,                 1.5226,                0.64864,                0.40698,                0.55119,                0.28332,                 1.9637,                 2.7323,                 1.7737,               0.000871,               0.000871,               0.000871
                     12,                 1.7597,                 1.7361,                 1.5575,                      1,                0.26521,                0.49079,                0.30935,                 1.9848,                 2.9051,                 1.8728,             0.00092774,             0.00092774,             0.00092774
                     13,                 1.7635,                 1.7106,                 1.5703,                 0.9955,                0.33333,                0.52088,                0.31829,                 1.9881,                 2.7456,                 1.8903,             0.00098052,             0.00098052,             0.00098052
                     14,                 1.8137,                 1.8275,                 1.6683,                0.98385,                    0.3,                0.49174,                0.30851,                 2.0011,                 2.8128,                 1.7834,              0.0010293,              0.0010293,              0.0010293
                     15,                 1.7131,                  1.753,                 1.5611,                0.51278,                0.49407,                0.53838,                0.31713,                 2.0568,                 2.4945,                 1.8296,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.6486,                 1.6807,                 1.5086,                 0.6266,                0.54727,                0.55006,                 0.3378,                 2.0782,                 2.4923,                 1.8989,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.7457,                 1.8006,                 1.5616,                 0.6072,                0.52441,                0.52328,                  0.329,                 2.1639,                   2.54,                 1.9977,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.6486,                 1.6149,                 1.5181,                0.43067,                0.43578,                0.43168,                0.28484,                 2.2297,                 2.8806,                 2.2152,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.6896,                  1.691,                  1.551,                0.40975,                0.49486,                0.39351,                 0.2139,                 2.1461,                 2.5488,                 1.9818,               0.000948,               0.000948,               0.000948
                     20,                 1.7121,                 1.5965,                 1.4788,                0.58267,                0.58819,                0.59206,                0.35916,                 2.1634,                 2.1132,                 1.9249,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.6925,                 1.5861,                 1.4667,                0.62965,                0.52427,                0.57996,                0.34718,                 2.1168,                 2.1371,                 1.9027,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.6454,                 1.5788,                 1.5115,                0.74387,                0.52207,                0.56748,                 0.3564,                 2.0825,                 2.1836,                 1.8564,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.6385,                 1.5525,                 1.4926,                0.65029,                0.56399,                0.58314,                0.37525,                 2.0728,                 2.0798,                 1.7794,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.6687,                 1.5382,                 1.4839,                0.47209,                0.65603,                0.57347,                0.36664,                 2.0732,                 1.9552,                 1.7478,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.6402,                  1.521,                 1.4177,                0.70722,                0.51359,                0.59265,                0.34931,                 2.0728,                 2.0162,                 1.7623,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.6661,                 1.4756,                 1.4302,                0.53258,                0.55425,                0.58824,                0.35502,                 2.0393,                 2.1033,                 1.7311,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.6694,                 1.4898,                 1.4665,                0.53419,                0.61608,                0.60213,                0.37863,                 2.0182,                 2.0641,                 1.7306,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.6011,                 1.4237,                 1.3989,                0.55588,                0.65929,                0.61242,                0.36419,                 2.0591,                 1.9714,                 1.7526,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.6247,                 1.4721,                 1.4741,                0.60984,                0.60929,                0.61497,                 0.3532,                 2.0526,                 1.9908,                 1.7616,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.5729,                 1.3936,                 1.4014,                0.59253,                0.63412,                0.62721,                0.36767,                 2.0567,                 1.9369,                 1.7815,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.6367,                  1.442,                 1.4549,                0.55718,                0.67503,                0.61294,                0.37044,                 2.1038,                 1.9657,                   1.83,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.6576,                 1.4301,                 1.4486,                0.59012,                0.61522,                0.60867,                0.37331,                  2.061,                  1.944,                 1.7731,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.5423,                 1.3309,                 1.3909,                 0.5828,                0.62939,                0.60407,                0.38366,                 2.0223,                 1.9618,                 1.7334,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.5482,                 1.3832,                 1.3963,                0.51795,                0.60801,                0.55145,                0.37053,                 1.9974,                  2.172,                 1.7532,             0.00052359,             0.00052359,             0.00052359
