                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9788,                 3.5326,                 2.0441,                0.00283,                0.43862,                0.11407,                0.08999,                 1.7955,                 3.9457,                 2.1834,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 1.7776,                 3.2075,                 1.9017,                0.00459,                0.51263,                0.15204,                0.10567,                 1.7425,                 3.7847,                 1.9586,             0.00018209,             0.00018209,             0.00018209
                      3,                 1.7525,                 2.7704,                 1.8247,                0.00692,                0.63598,                0.15041,                0.09178,                 1.7502,                 3.6194,                 1.7857,             0.00027448,             0.00027448,             0.00027448
                      4,                 1.6473,                 2.4909,                 1.7294,                0.00724,                0.74786,                0.09962,                0.03558,                 1.9526,                  3.646,                 1.7781,             0.00036291,             0.00036291,             0.00036291
                      5,                 1.6517,                 2.4279,                 1.7349,                0.00856,                0.78205,                0.40091,                0.28554,                 1.7012,                 3.3667,                 1.6691,             0.00044738,             0.00044738,             0.00044738
                      6,                 1.6176,                  2.358,                 1.7431,                      1,                 0.2415,                0.42634,                0.29385,                 1.6806,                 3.2035,                 1.6557,             0.00052789,             0.00052789,             0.00052789
                      7,                 1.4756,                 2.1915,                 1.6472,                0.87682,                0.23077,                0.30651,                0.13103,                 1.9208,                 3.2671,                 1.9303,             0.00060443,             0.00060443,             0.00060443
                      8,                 1.5668,                 2.1676,                 1.6648,                0.12969,                0.20513,                 0.2095,                0.05792,                 2.0885,                 3.3656,                 2.0398,             0.00067702,             0.00067702,             0.00067702
                      9,                 1.6179,                 2.2107,                  1.766,                0.74004,                0.24786,                0.27735,                0.16815,                 1.8884,                 3.2779,                  1.923,             0.00074564,             0.00074564,             0.00074564
                     10,                 1.4946,                 2.0946,                 1.7012,                0.66667,                0.14181,                0.34518,                0.21632,                 1.8873,                  3.346,                 1.9338,              0.0008103,              0.0008103,              0.0008103
                     11,                 1.5443,                 2.1006,                  1.699,                0.77552,                0.18208,                0.35971,                 0.2282,                 1.9359,                 3.2381,                 1.8443,               0.000871,               0.000871,               0.000871
                     12,                 1.5191,                 2.0816,                 1.6737,                0.51359,                0.36927,                0.44634,                0.28807,                 1.9066,                 2.7336,                 1.9754,             0.00092774,             0.00092774,             0.00092774
                     13,                 1.5811,                 1.9991,                  1.696,                0.41304,                0.40909,                0.44507,                0.27764,                 1.9054,                 2.7479,                 1.9979,             0.00098052,             0.00098052,             0.00098052
                     14,                 1.5587,                 2.0507,                 1.6983,                0.42944,                0.53632,                0.44625,                0.28361,                  1.858,                 2.9229,                 2.0598,              0.0010293,              0.0010293,              0.0010293
                     15,                 1.5015,                  1.904,                 1.6084,                0.38633,                0.52572,                0.48624,                 0.3106,                 1.8726,                 2.5396,                 2.0343,              0.0010329,              0.0010329,              0.0010329
